,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc
08-974,1,2/22/2010,2,2010,ARTHUR L. LEWIS JR. et al. v. CITY OF CHICAGO ILLINOIS,31,1,0.75,0,0.111111111,0.6,5/24/2010,9,0,1,1,0.474842767,-1,0.123493976,-0.25,-0.047730655,-0.11118753,0,-0.025487575,-0.051011905,11.0,4.0,7.0,7.0,1,1.0,1.5,2,12.0,1,1,0,0,230,0,2,1,15,170,481,3,3,8,32,47,0,3,0,3,1,294,373,3,6,14,17,120,72,3,1,9,4
08-992,0,11/2/2009,11,2009,JEFFREY A. BEARD SECRETARY PENNSYLVANIA DEPARTMENT OF CORRECTIONS et al. v. JOSEPH J. KINDLER,3,1,0,-0.333333333,1,0.2,12/8/2009,8,0,1,1,-0.437275986,0.128349788,0.868902439,0.77027027,-0.184186508,-0.242212302,-0.082623988,-0.109679322,-0.217357955,5.0,3.0,3.0,3.0,1,2.0,2.0,1,11.0,1,0,0,0,405,0,5,1,20,401,157,1,1,16,7,309,400,0,5,9,21,43,619,0,16,2,40,51,393,4,6,6,12
08-998,-1,3/22/2010,3,2010,JAN HAMILTON CHAPTER 13 TRUSTEE v. STEPHANIE KAY LANNING,5,0,-1,0,1,0.142857143,6/7/2010,8,1,0,0,-0.728119181,-0.893333333,0.342507645,-0.494623656,0,-0.107529762,0.234285714,0.009697802,0.180046559,0.0,0.0,10.0,10.0,1,2.0,2.0,8,11.0,1,0,0,0,0,0,0,1,1,464,73,11,2,26,3,142,8,3,2,8,2,215,439,3,10,10,23,417,141,8,2,22,14
09-10245,0,2/23/2011,2,2011,WILLIAM FREEMAN v. UNITED STATES,1,0.058823529,-1,1,-1,0.714285714,6/23/2011,5,4,1,0.069144981,-0.254320988,1,-0.950819672,-0.100323625,-0.011958292,-0.124047619,0.088815789,0.183143939,-0.127462652,3.0,2.0,6.0,6.0,1,1.0,2.0,1,12.0,1,1,0,630,770,20,13,52,61,254,151,2,1,7,5,0,295,0,3,1,23,476,12,10,0,31,1,341,287,6,3,12,15
09-1036,0,12/6/2010,12,2010,DORETHA H. HENDERSON AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON DECEASED PETITIONER v. ERIC K. SHINESKI SECRETARY OF VETERANS AFFAIRS,6,1,1,1,-0.5,-0.4,3/1/2011,8,0,1,1,0.390186916,0.272727273,-0.150920245,-0.235955056,-0.079357143,-0.044916802,-0.7,-0.104880801,-0.036314745,0.0,2.0,13.0,13.0,1,1.0,2.0,2,12.0,1,1,0,0,1055,0,18,1,51,261,597,6,14,16,31,40,70,1,3,3,6,469,348,6,5,29,17,499,311,17,12,39,21
09-10876,0,3/2/2011,3,2011,DONALD BULLCOMING PETITIONER v. NEW MEXICO,-9,0.5,-1,-0.777777778,-1,0.4,6/23/2011,5,4,1,0.409090909,0.043824701,-0.570127505,-0.704467354,0.542429285,-0.111956522,0.038709864,0.052003711,-0.226105925,0.029645627,3.0,5.0,0.0,0.0,1,1.0,2.0,1,11.0,1,0,0,156,372,0,9,9,13,240,262,4,2,6,10,436,124,8,2,29,8,248,46,5,2,18,5,275,927,11,27,18,52
09-1088,0,11/9/2010,11,2010,VINCENT CULLEN ACTING WARDEN PETITIONER v. SCOTT LYNN PINHOLSTER,-13,0.5,0,-1,0,0,4/4/2011,5,4,1,0.074889868,1,-0.020771513,0.404347826,0.733333333,-0.071630592,-0.7,0.049242424,-0.079037567,-0.031113972,5.0,3.0,9.0,9.0,1,2.0,1.5,1,11.0,1,0,0,210,463,2,3,10,20,0,19,0,1,1,1,179,165,3,1,13,7,281,647,8,6,19,24,58,384,1,7,9,24
09-11121,-1,3/23/2011,3,2011,J. D. B. PETITIONER v. NORTH CAROLINA,-1,0.714285714,0.714285714,-0.142857143,-1,-0.571428571,6/16/2011,5,4,1,0.759414226,0.406727829,-0.504504505,-0.834319527,-0.285534591,0.139483779,-0.098759921,0.106666667,0.012797619,0.042637966,0.0,5.0,0.0,0.0,1,1.0,2.0,1,11.0,1,0,0,120,865,1,27,5,77,194,462,4,6,10,31,167,55,5,0,10,4,465,42,5,0,21,3,511,300,23,10,37,21
09-11311,0,1/12/2011,1,2011,MARCUS SYKES PETITIONER v. UNITED STATES,2,0.2,0,-1,0.818181818,0,6/9/2011,6,3,0,-0.410022779,0,-1,0.466019417,-0.050798258,-0.019848138,0,0.02202381,-0.031902357,0.213609608,3.0,2.0,7.0,7.0,1,1.0,2.0,1,2.0,1,0,0,619,259,12,3,48,12,0,0,0,0,1,1,139,0,1,0,9,1,165,453,1,6,10,37,366,327,6,7,18,23
09-11328,0,3/21/2011,3,2011,WILLIE GENE DAVIS PETITIONER v. UNITED STATES,-1,1,-1,-1,-0.6,0.2,6/16/2011,7,2,0,1,-0.228571429,-0.865497076,-0.948136143,0.173184358,-0.067424242,-0.245793651,0.392324561,0.084640822,0.105487013,3.0,2.0,11.0,11.0,1,1.0,2.0,1,2.0,1,0,0,0,353,0,4,1,25,172,112,3,6,7,11,319,23,2,0,14,1,601,16,7,0,23,1,231,315,0,10,14,19
09-115,1,12/8/2010,12,2010,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA et al. PETITIONERS v. MICHAEL B. WHITING ET AL,-19,0.538461538,0.333333333,-0.333333333,-0.777777778,-0.6,5/26/2011,5,3,0,0.82556391,0.780104712,-0.125,-0.645283019,-0.51326624,-0.227184959,-0.220535714,0.09,-0.33262987,0.026809729,0.0,0.0,9.0,9.0,1,1.0,2.0,10,12.0,1,0,0,116,1214,2,21,9,78,24,170,1,5,3,12,162,126,3,1,10,6,439,94,6,3,24,6,838,266,21,8,63,14
09-11556,-1,3/21/2011,3,2011,JOSE TOLENTINO PETITIONER v. NEW YORK,-1,0.058823529,-0.5,-1,0.166666667,-1,3/29/2011,9,0,0,-0.064814815,-0.084615385,-0.891089109,0.263157895,-0.909677419,-0.071542836,-0.026025166,-0.023076923,-0.009821807,-0.034782347,3.0,5.0,0.0,0.0,1,1.0,2.0,9,12.0,1,0,0,575,509,27,11,52,46,282,238,8,6,16,12,191,11,7,0,10,2,273,468,10,10,18,28,296,23,7,1,20,3
09-1156,-1,1/10/2011,1,2011,MATRIXX INITIATIVES INC. et al. PETITIONERS v. JAMES SIRACUSANO et al.,-15,-0.529411765,-0.5,0,0.333333333,-0.111111111,3/22/2011,9,0,0,-0.275362319,-0.591836735,-0.064102564,0.404202719,0.155844156,-0.019698199,0.069001492,0,-0.0089784,0.211263228,1.0,0.0,9.0,9.0,1,2.0,4.0,8,12.0,1,0,0,748,425,13,5,49,13,353,90,6,1,19,4,84,73,2,2,6,3,242,568,0,4,13,31,260,356,6,9,22,18
09-1159,1,2/28/2011,2,2011,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY PETITIONER v. ROCHE MOLECULAR SYSTEMS INC. et al.,11,1,0.333333333,-1,0.75,-0.142857143,6/6/2011,7,2,0,1,-0.036608863,-1,0.331412104,-0.517241379,-0.110388869,0.056628788,0.2,-0.159474092,0.085592612,0.0,1.0,9.0,13.0,0,1.0,5.0,8,12.0,1,0,0,0,920,0,7,1,45,269,250,2,5,11,12,143,0,3,0,5,1,232,525,3,6,10,22,308,98,5,3,21,9
09-1163,0,12/1/2010,12,2010,GLEN SCOTT MILNER PETITIONER v. DEPARTMENT OF THE NAVY,33,-0.25,0.333333333,1,1,0.2,3/7/2011,8,1,1,-0.556503198,-0.193548387,0.333333333,0.778761062,-0.537931034,-0.123376623,0.093228022,0.182738095,0.194130952,-0.137443609,14.0,2.0,9.0,9.0,1,1.0,2.0,5,2.0,1,0,0,733,208,10,6,47,19,227,150,0,2,10,10,57,114,0,5,2,7,50,402,0,12,2,32,223,67,3,1,11,5
09-1205,0,1/18/2011,1,2011,KEITH SMITH et al. PETITIONERS v. BAYER CORPORATION,1,-1,0,-1,0,1,6/16/2011,9,0,1,-1,0.208571429,0.529411765,-0.133333333,0.517241379,-0.053125,-0.127448593,0.125,-0.12957043,-0.006043956,14.0,1.0,8.0,8.0,1,2.0,2.0,10,2.0,1,0,0,299,0,9,0,14,1,277,423,6,3,18,16,16,52,1,2,1,3,187,143,4,0,7,10,56,180,2,2,2,12
09-1227,1,2/22/2011,2,2011,CAROL ANNE BOND PETITIONER v. UNITED STATES,-8,-0.2,-1,-1,1,-0.428571429,6/16/2011,9,0,1,-0.14893617,-0.697560976,-0.805929919,0.205298013,-0.062893082,-0.316586947,0.170153061,0.071401515,0.110714286,0.199221711,7.0,2.0,3.0,3.0,1,1.0,2.0,9,12.0,1,0,0,324,240,7,3,18,17,174,31,5,1,10,1,335,36,8,0,14,1,120,182,0,2,5,7,338,298,7,2,20,13
09-1233,0,11/30/2010,11,2010,EDMUND G. BROWN JR. GOVERNOR OF CALIFORNIA et al. APPELLANTS v. MARCIANO PLATA et al.,7,-0.818181818,-0.75,0.076923077,1,1,5/23/2011,5,4,0,-0.316977429,-0.765402844,0.102719033,0.841656516,0.931034483,-0.018415917,-0.142847417,-0.171851938,-0.186770699,-0.170643939,0.0,3.0,9.0,9.0,1,2.0,2.0,1,1.0,2,0,0,671,352,12,5,45,25,786,99,10,3,44,7,297,365,1,3,17,25,65,774,1,10,5,49,4,113,0,6,1,12
09-1272,1,1/12/2011,1,2011,KENTUCKY PETITIONER v. HOLLIS DESHAUN KING,-21,-0.5,-1,-1,1,-0.6,5/16/2011,8,1,1,0.105263158,-0.804511278,-0.502347418,0.363740023,0.217125382,-0.121536499,0.255856481,-0.194047619,-0.056686273,0.043708547,5.0,3.0,0.0,0.0,1,2.0,1.5,1,12.0,1,0,0,303,315,4,4,25,17,485,52,10,2,24,2,160,53,8,0,19,2,279,601,5,6,21,33,451,600,21,11,43,27
09-1273,1,1/19/2011,1,2011,ASTRA USA INC. et al. PETITIONERS v. SANTA CLARA COUNTY CALIFORNIA,-14,-0.733333333,0.142857143,-1,0.2,-0.2,3/29/2011,8,0,1,-0.325581395,0.48608838,0.070967742,0.045813586,0.526315789,0.020265152,-0.173712399,0,-0.04247148,-0.034589947,1.0,4.0,9.0,9.0,1,2.0,1.5,9,12.0,1,0,0,456,232,16,4,38,12,157,456,7,5,11,29,72,83,1,0,4,6,302,331,10,4,19,12,99,319,6,1,10,17
09-1279,0,1/19/2011,1,2011,FEDERAL COMMUNICATIONS COMMISSION et al. PETITIONERS v. AT&T INC. et al.,-9,1,-0.142857143,-1,-0.333333333,-0.25,3/1/2011,8,0,1,1,0.224274406,-1,0.177993528,0.336492891,-0.14784127,0.098888889,0.221428571,-0.047127976,0.255850403,2.0,1.0,3.0,3.0,1,1.0,1.0,5,12.0,1,1,0,0,352,0,7,1,16,151,232,3,4,12,11,57,0,3,0,5,1,127,182,3,3,11,8,210,438,3,8,16,27
09-1298,0,1/18/2011,1,2011,GENERAL DYNAMICS CORPORATION PETITIONER v. UNITED STATES,10,-1,-1,1,1,0.368421053,5/23/2011,9,0,1,-0.373493976,-0.390438247,1,0.691099476,0.268292683,-0.053336583,-0.023378759,-0.033363858,-0.056746032,-0.119725529,0.0,2.0,13.0,13.0,1,2.0,2.0,5,11.0,1,0,0,399,185,4,4,23,8,349,155,2,3,19,8,0,306,0,1,1,15,59,333,0,12,2,26,317,546,5,5,24,31
09-1343,0,1/11/2011,1,2011,J. MCINTYRE MACHINERY LTD. PETITIONER v. ROBERT NICASTRO INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO,30,0.818181818,-0.2,0.2,1,0.2,6/27/2011,6,3,1,0.479880775,-0.652076319,0.12,0.86775178,0.203448276,0.165219335,0.131440516,-0.11844136,0.18635727,0.076133658,1.0,0.0,0.0,0.0,1,1.0,2.0,4,12.0,1,0,0,351,1011,5,21,21,75,742,157,17,5,42,15,264,336,3,6,16,19,65,925,0,34,3,79,236,353,6,11,20,28
09-1403,1,4/25/2011,4,2011,ERICA P. JOHN FUND INC. FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND INC. PETITIONER v. HALLIBURTON CO. et al.,-4,1,0,0,-1,-1,6/6/2011,9,0,1,1,0.465703971,-1,0.198675497,-0.559157212,-0.020238095,-0.113782051,-0.172916667,0.314339827,-0.025211059,0.0,0.0,5.0,5.0,1,1.0,2.0,9,2.0,1,0,0,0,448,0,8,1,28,74,203,2,2,4,11,71,0,4,0,5,1,161,181,6,3,9,9,481,141,5,1,23,6
09-1454,1,3/1/2011,3,2011,BOB CAMRETA PETITIONER v. SARAH GREENE PERSONALLY AND AS NEXT FRIEND OF S. G. A MINOR AND K. G. A MINOR,18,1,0.333333333,0.5,0.333333333,0.6,5/26/2011,7,2,1,1,-0.077747989,-0.364583333,-0.042253521,0.305978898,-0.042307692,0.058255745,-0.103720238,0.063143887,-0.011148793,11.0,0.0,9.0,9.0,1,1.0,2.0,9,12.0,1,0,0,0,222,0,12,1,22,402,344,14,4,23,19,262,122,9,2,19,10,373,340,9,14,20,28,303,681,16,12,23,47
09-1476,1,3/22/2011,3,2011,BOROUGH OF DURYEA PENNSYLVANIA et al. PETITIONERS v. CHARLES J GUARNIERI,10,0,0.6,1,1,0,6/20/2011,9,0,1,0,0.194388778,0.818181818,0.630922693,-0.516209476,0,0.093073593,0.349642857,0.11461301,-0.010855973,4.0,11.0,3.0,3.0,1,2.0,2.0,3,2.0,1,0,0,0,0,0,0,1,1,201,298,6,5,10,16,31,310,1,7,1,16,74,327,0,4,3,15,608,194,13,5,33,13
09-1498,0,2/22/2011,2,2011,UNITED STATES PETITIONER v. JASON LOUIS TINKLENBERG,-18,-0.75,0.333333333,-1,-0.5,-0.428571429,5/26/2011,8,0,0,-0.273809524,-0.043956044,-0.806060606,-0.231671554,-0.211940299,-0.014278335,-0.092619048,0.069358974,0.212061688,0.110491071,2.0,3.0,6.0,6.0,1,2.0,1.5,1,11.0,1,0,0,308,122,9,0,20,2,195,207,2,9,5,12,149,16,2,0,6,2,210,131,8,1,21,3,224,132,3,5,14,10
09-150,1,10/5/2010,10,2010,MICHIGAN PETITIONER v. RICHARD PERRY BRYANT,1,0.692307692,-0.142857143,0,0.111111111,-0.481481481,2/28/2011,6,2,1,0.78553616,-0.412307692,-0.011406844,-0.248407643,-0.393393393,-0.084212963,-0.322692308,-0.210010823,-0.20174062,0.04028305,5.0,3.0,0.0,0.0,1,2.0,1.5,1,11.0,1,0,0,183,1059,5,12,12,53,462,194,13,4,27,14,269,278,8,6,16,22,392,271,6,4,21,17,928,438,22,5,60,32
09-152,-1,10/12/2010,10,2010,RUSSEL BRUESEWITZ et al. PETITIONERS v. WYETH LLC FKA WYETH INC. FKA WYETH LABORATORIES et al.,16,0.666666667,0.555555556,-0.333333333,0.2,-1,2/22/2011,6,2,0,0.355932203,0.4048,-0.032520325,-0.327176781,-1,0.007227072,0.116007287,0.266326531,-0.048954468,0.10687004,0.0,1.0,13.0,3.0,0,1.0,2.0,10,12.0,1,0,0,285,600,3,14,16,34,186,439,6,2,9,20,127,119,2,4,6,9,506,258,7,2,29,17,245,0,3,0,15,1
09-1533,0,2/28/2011,2,2011,FRANTZ DEPIERRE PETITIONER v. UNITED STATES,-5,0.777777778,-1,-1,-1,-0.777777778,6/9/2011,9,0,0,0.714285714,-0.237410072,-1,-0.895061728,-0.234042553,-0.418743158,-0.235396825,0.133333333,-0.160185185,-0.351160173,3.0,2.0,1.0,1.0,1,1.0,2.0,1,2.0,1,0,0,103,625,1,10,7,42,172,106,7,4,15,8,107,0,1,0,8,1,307,17,2,0,13,1,348,216,6,4,27,16
09-158,0,3/24/2010,3,2010,BILLY JOE MAGWOOD v. TONY PATTERSON WARDEN et al.,-9,0.142857143,0,-0.428571429,-0.333333333,-0.5,6/24/2010,5,4,1,0.42324756,-0.558558559,-0.339393939,-0.440806045,-0.427230047,-0.193795203,-0.071708545,-0.112832951,0.046074718,-0.146848739,3.0,5.0,11.0,11.0,1,1.0,1.5,1,11.0,1,0,0,325,802,3,7,14,61,346,98,2,0,15,7,221,109,5,5,12,8,286,111,2,1,11,9,304,122,3,4,24,9
09-223,0,3/22/2010,3,2010,RICHARD A. LEVIN TAX COMMISSIONER OF OHIO v. COMMERCE ENERGY INC. et al.,-8,0.166666667,1,-1,0,-1,6/1/2010,9,0,1,-0.02425107,0.353965184,-1,-0.043478261,-0.134146341,0.067793585,-0.048802083,0.306666667,-0.077777778,0.187624677,0.0,1.0,6.0,6.0,1,2.0,4.0,10,2.0,1,0,0,718,745,5,14,48,63,167,356,2,5,6,20,99,0,5,0,8,1,48,44,0,0,2,3,186,149,2,1,16,10
09-291,1,12/7/2010,12,2010,ERIC L. THOMPSON PETITIONER v. NORTH AMERICAN STAINLESS LP,-5,0.5,0.2,0,-0.75,0.6,1/24/2011,8,0,1,0.478336222,0.068548387,-0.666666667,-0.629770992,0.498392283,0.017277849,-0.041664949,0.053846154,-0.114087302,0.052540618,11.0,1.0,6.0,6.0,1,1.0,2.0,2,12.0,1,1,0,304,876,10,8,19,43,283,265,4,4,14,10,185,37,4,4,10,4,432,97,5,2,28,8,165,485,4,17,15,46
09-329,1,12/8/2010,12,2010,CHASE BANK USA NA. PETITIONER v. JAMES A. MCCOY INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED,-5,0,0.333333333,0,-0.333333333,-0.2,1/24/2011,9,0,1,0.599369085,0.391304348,-0.185185185,-0.468965517,0.170149254,-0.150611326,0.009571817,0.394285714,0.177191558,0.039772727,1.0,0.0,9.0,9.0,1,2.0,6.0,8,2.0,1,1,0,138,507,3,8,15,28,182,416,3,4,10,23,32,22,1,0,3,2,213,77,5,0,11,4,151,196,6,3,16,20
09-337,0,4/21/2010,4,2010,WANDA KRUPSKI v. COSTA CROCIERE S. P. A.,51,0.846153846,0.4,1,0.333333333,0.176470588,6/7/2010,9,0,1,0.880081301,0.292307692,-0.184549356,0.015228426,-0.187410587,0.346284271,-0.023737916,-0.211125541,0.01718254,0.125440393,0.0,1.0,11.0,11.0,1,1.0,2.0,9,2.0,1,0,0,59,980,2,21,4,59,276,506,8,7,16,29,138,95,1,3,4,7,194,200,4,2,16,12,415,358,6,6,25,25
09-338,0,3/29/2010,3,2010,PAUL RENICO WARDEN v. REGINALD LETT,4,0.2,-1,-1,0.833333333,1,5/3/2010,6,3,1,-0.314172448,-0.355191257,-0.831168831,0.835555556,0.433224756,0.142296321,0.123467279,0.188157895,0.016812439,0.04627756,2.0,3.0,6.0,6.0,1,2.0,2.0,1,11.0,1,0,0,663,346,12,8,43,20,248,190,7,1,18,11,295,26,4,1,20,2,74,892,2,23,6,46,322,726,9,7,21,30
09-350,0,10/5/2010,10,2010,LOS ANGELES COUNTY CALIFORNIA PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.,28,1,-1,-0.111111111,1,0.5,11/30/2010,8,0,1,1,0.195652174,-0.387840671,0.816649104,0.502994012,-0.006109023,0.002857143,-0.057114512,-0.076130952,0.033655462,4.0,0.0,9.0,9.0,1,2.0,7.0,2,12.0,1,0,0,0,478,0,14,1,31,148,220,6,6,11,13,331,146,10,6,18,15,87,870,2,4,5,49,92,251,3,8,9,13
09-367,0,4/20/2010,4,2010,BRIAN RUSSELL DOLAN v. UNITED STATES,-13,-0.5,-0.2,-0.333333333,0.111111111,0.066666667,6/14/2010,5,4,0,0.010630758,-0.241685144,0.295546559,-0.258196721,0.003942181,-0.027608637,0.001450893,-0.182638889,-0.000467687,-0.014682357,3.0,2.0,10.0,10.0,1,2.0,2.0,9,2.0,1,0,0,698,713,19,8,61,33,280,175,5,2,13,6,87,160,0,6,5,11,310,181,4,5,25,11,379,382,10,16,25,30
09-400,1,11/2/2010,11,2010,VINCENT E. STAUB PETITIONER v. PROCTOR HOSPITAL,-10,1,0.142857143,-1,-1,-0.2,3/1/2011,8,0,1,1,0.547663551,-0.011952191,-0.435,0.308823529,-0.087064201,-0.165127551,-0.146428571,0.049272487,-0.169476446,0.0,1.0,7.0,7.0,1,1.0,1.5,2,12.0,1,0,0,0,772,0,11,1,49,121,414,2,8,9,27,127,124,1,1,8,8,287,124,4,1,15,8,282,534,3,4,15,18
09-448,1,4/26/2010,4,2010,BRIDGET HARDT v. RELIANCE STANDARD LIFE INSURANCE COMPANY,4,0.285714286,0.428571429,-1,0.142857143,0,5/24/2010,9,0,1,0.699512195,0.717857143,-0.674556213,0.12244898,-0.247761194,0.073818113,-0.025855032,-0.017911255,0.012355769,-0.003015873,11.0,1.0,4.0,4.0,1,1.0,8.0,6,2.0,1,0,0,180,871,6,11,17,51,79,481,3,8,4,31,283,55,4,1,19,1,258,330,6,3,15,12,209,128,0,1,9,10
09-475,1,4/27/2010,4,2010,MONSANTO COMPANY et al. v. GEERTSON SEED FARMS et al.,-3,0,-0.571428571,1,-0.272727273,0.866666667,6/21/2010,7,1,1,0,-0.49665328,0.477911647,-0.182795699,0.988721805,0,-0.021921952,0.158333333,-0.012723612,-0.070573911,1.0,1.0,9.0,9.0,1,2.0,2.0,8,12.0,1,1,0,0,0,0,0,1,1,559,188,5,2,29,8,65,184,2,5,2,11,660,456,7,6,36,27,3,529,0,13,1,43
09-479,1,10/4/2010,10,2010,KEVIN ABBOTT PETITIONER v. UNITED STATES,17,1,-1,0,0.777777778,0.846153846,11/15/2010,8,0,0,0.455128205,-0.762711864,0,0.677310924,-0.017421603,0.008023008,-0.135714286,0,-0.232945011,-0.016735845,3.0,2.0,3.0,3.0,1,1.0,2.0,1,2.0,1,0,0,259,685,2,7,15,30,208,28,3,1,11,1,0,0,0,0,1,1,96,499,0,5,5,23,308,303,3,11,22,24
09-497,0,4/26/2010,4,2010,RENT-A-CENTER WEST INC. v. ANTONIO JACKSON,6,0,-0.428571429,0.571428571,0.555555556,-0.157894737,6/21/2010,5,4,1,-0.063854048,-0.332225914,0.394957983,0.219101124,0.177277179,0.133133727,0.097302296,0.02267316,0.099064626,-0.164083262,1.0,11.0,9.0,9.0,1,2.0,7.0,7,12.0,1,0,0,933,836,11,11,46,43,401,203,7,2,20,9,144,332,2,11,5,23,278,434,3,5,13,20,422,641,13,17,24,37
09-520,1,11/10/2010,11,2010,CSX TRANSPORTATION INC. PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.,12,1,-1,-0.5,0.555555556,-0.272727273,2/22/2011,7,2,0,1,-1,-0.504807692,0.59,-0.105932203,-0.022738507,-0.00995098,-0.266629073,0.082531056,0.199279449,1.0,0.0,11.0,11.0,1,1.0,2.0,8,12.0,1,0,0,0,725,0,9,1,43,306,0,3,0,11,1,313,103,2,2,13,7,164,636,0,9,8,35,261,211,9,5,16,18
09-5201,0,3/30/2010,3,2010,MICHAEL GARY BARBER et al. v. J. E. THOMAS WARDEN,2,0.142857143,-1,0.2,0,0.333333333,6/7/2010,6,3,0,-0.211267606,0.047619048,0.582887701,-0.405128205,0.137645108,-0.018521609,-0.047883598,-0.038818027,0.205357143,0.127683391,3.0,2.0,9.0,9.0,1,1.0,2.0,1,10.0,1,0,0,688,448,7,5,32,19,90,99,1,2,3,3,78,299,3,5,8,13,137,58,1,1,7,5,263,351,5,3,17,25
09-525,-1,12/7/2010,12,2010,JANUS CAPITAL GROUP INC. et al. PETITIONERS v. FIRST DERIVATIVE TRADERS,3,0.1,-0.454545455,-0.818181818,0.846153846,0.684210526,6/13/2011,5,4,1,0.248351648,-0.654901961,-0.613065327,0.647749511,0.679347826,-0.189287698,-0.048785714,0.006140351,0.075793651,0.069583333,0.0,0.0,4.0,4.0,1,2.0,1.5,8,11.0,1,0,0,342,568,6,8,24,40,422,88,10,2,30,5,323,81,9,2,20,5,92,444,2,4,5,32,118,627,5,14,11,48
09-529,1,12/1/2010,12,2010,VIRGINIA OFFICE FOR PROTECTION AND ADVOCACY PETITIONER v. JAMES W. STEWART III COMMISSIONER VIRGINIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES et al.,-27,-0.4,0,-1,-0.882352941,0.2,4/19/2011,6,2,1,0.308855292,0.535714286,-0.524324324,-0.926675095,0.170437406,-0.01653245,-0.002130832,0.02358631,0.599533147,0.012722222,5.0,0.0,4.0,4.0,1,1.0,4.0,10,12.0,1,1,1,409,606,14,10,43,33,169,559,5,8,9,28,423,132,4,2,21,6,762,29,15,1,50,4,293,388,5,6,23,21
09-530,0,10/5/2010,10,2010,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION et al. PETITIONERS v. ROBERT M. NELSON et al.,4,1,0.176470588,0.142857143,-0.076923077,0.636363636,1/19/2011,8,0,1,1,0.013933548,0.095823096,-0.237269772,0.427495292,-0.16723545,-0.115863189,0.0083281,0.059141374,0.00251628,2.0,11.0,9.0,9.0,1,2.0,4.0,5,12.0,1,1,0,0,617,0,21,1,45,460,473,10,13,30,32,184,223,5,6,10,12,571,352,13,8,33,21,152,379,6,13,12,27
09-5327,0,3/1/2010,3,2010,ALBERT HOLLAND v. FLORIDA,-13,1,-0.714285714,-0.5,0.090909091,-1,6/14/2010,7,2,1,1,-0.504373178,-0.345935728,0.092564492,-1,0.062346939,-0.192824074,-0.055805386,0.168650794,0.142321429,3.0,5.0,11.0,11.0,1,1.0,2.0,2,2.0,1,0,0,0,526,0,14,1,30,258,85,2,3,8,3,387,173,6,3,25,5,299,360,5,7,19,19,482,0,4,0,19,1
09-559,0,4/28/2010,4,2010,JOHN DOE #1 et al. v. SAM REED WASHINGTON SECRETARY OF STATE et al.,-13,-1,-0.75,-0.2,0.384615385,-0.333333333,6/24/2010,8,1,0,1,-0.669980119,0.033932136,0.244094488,-0.355932203,-0.107777778,-0.139821429,-0.009355159,0.007700138,0.074163878,14.0,0.0,9.0,9.0,1,1.0,1.5,5,2.0,1,0,0,4,106,0,2,1,3,844,172,14,5,47,14,243,264,5,10,11,14,288,478,3,15,11,27,560,273,13,9,44,19
09-571,0,10/6/2010,10,2010,HARRY F. CONNICK DISTRICT ATTORNEY et al. PETITIONERS v. JOHN THOMPSON,13,-0.8,0,0.666666667,1,0.333333333,3/29/2011,5,4,1,-0.702227433,-0.510416667,0.396551724,0.808724832,0.55033557,-0.173922414,-0.075550265,-0.044916667,-0.480862193,-0.030449907,0.0,3.0,5.0,5.0,1,2.0,2.0,2,12.0,1,0,0,810,127,25,5,65,10,435,141,6,3,18,6,70,168,2,1,6,11,57,616,0,18,7,43,75,231,3,5,9,21
